Name,Type,Breed,Color,Sex,Size,Date Of Birth,Impound Number,Kennel Number,Animal ID,Intake Date,Outcome Date,Days in Shelter,Intake Type,Intake Subtype,Outcome Type,Outcome Subtype,Intake Condition,Outcome Condition,Intake Jurisdiction,Outcome Jurisdiction,Outcome Zip Code,Count,Latitude,Longitude
SMOKEY,DOG,PIT BULL,GRAY/WHITE,Male,MED,2/12/2022,K22-043467,DS92,A414614,12/29/2022,12/29/2022,0,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_CALL,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407.0,1,38.41483,-122.72707
BEA,DOG,PIT BULL/MIX,BR BRINDLE/WHITE,Spayed,MED,11/15/2020,K22-043425,DS60,A414562,12/27/2022,12/29/2022,2,CONFISCATE,FLD_HOSPTL,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95405.0,1,38.44473,-122.68655
POE,DOG,PIT BULL/MIX,BLACK,Neutered,LARGE,,K17-022078,DS70,A329591,1/1/2017,1/3/2017,2,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95472.0,1,38.40179,-122.82512
NOVA,DOG,PIT BULL,BR BRINDLE/WHITE,Spayed,MED,9/8/2013,K14-008347,DA37,A305089,4/8/2014,4/18/2014,10,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403.0,1,38.51311,-122.75502
CHICO,DOG,PIT BULL/MIX,BROWN/WHITE,Male,SMALL,10/22/2021,K23-044094,DS66,A416204,3/15/2023,3/16/2023,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WALKIN,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95401.0,1,38.45663,-122.72292
ZEUS,DOG,PIT BULL,TAN/WHITE,Male,MED,2/7/2016,K16-022023,DS86,A367977,12/27/2016,12/27/2016,0,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_PRVS,HEALTHY,HEALTHY,COUNTY,COUNTY,95472.0,1,38.40179,-122.82512
ZEUS,DOG,PIT BULL,TAN/WHITE,Male,MED,2/7/2016,K22-043438,DS54,A367977,12/28/2022,12/29/2022,1,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,PENDING,COUNTY,COUNTY,95472.0,1,38.40179,-122.82512
*JENNY,CAT,DOMESTIC SH,BLACK,Spayed,SMALL,11/5/2020,K22-043062,CA02,A414049,11/5/2022,12/29/2022,54,STRAY,OVER THE COUNTER,TRANSFER,WE CARE,UNKNOWN,HEALTHY,COUNTY,OUT OF COUNTY,94574.0,1,38.5061,-122.47168
HORATIO,DOG,PIT BULL/LABRADOR RETR,CHOCOLATE,Neutered,LARGE,3/3/2017,K19-031478,DA30,A384441,2/19/2019,2/26/2019,7,CONFISCATE,FLD_HOSPTL,RETURN TO OWNER,OVER THE COUNTER_NOTICE,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95404.0,1,38.43807,-122.71247
THOR,DOG,CHIHUAHUA LH/MIX,TAN/WHITE,Male,PUPPY,8/26/2022,K22-043434,DS95,A414573,12/28/2022,12/29/2022,1,CONFISCATE,FLD_HOSPTL,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95404.0,1,38.43807,-122.71247
,CAT,DOMESTIC SH,GRAY/BLACK,Female,SMALL,,K22-043123,SMM,A414135,11/12/2022,12/29/2022,47,STRAY,OVER THE COUNTER,TRANSFER,WE CARE,UNKNOWN,HEALTHY,SANTA ROSA,OUT OF COUNTY,94574.0,1,38.5061,-122.47168
MOCHI,CAT,DOMESTIC LH,GRAY/WHITE,Male,MED,,K22-040847,CA02,A410395,3/4/2022,3/5/2022,1,STRAY,PHONE,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95404.0,1,38.43807,-122.71247
ZEUS,DOG,PIT BULL,TAN/WHITE,Male,MED,2/7/2016,K18-027194,DQ115,A367977,2/7/2018,2/15/2018,8,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WEB,HEALTHY,HEALTHY,COUNTY,COUNTY,95472.0,1,38.40179,-122.82512
MANDY,CAT,DOMESTIC LH/MIX,BRN TABBY/WHITE,Spayed,SMALL,11/30/2009,K22-043067,CS05,A414057,11/7/2022,12/29/2022,52,STRAY,FIELD,TRANSFER,WE CARE,TREATABLE/MANAGEABLE,HEALTHY,SANTA ROSA,OUT OF COUNTY,94574.0,1,38.5061,-122.47168
SASHA,DOG,AMER BULLDOG,BROWN,Spayed,LARGE,9/28/2013,K18-028851,TRUCK,A374344,6/28/2018,6/28/2018,0,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403.0,1,38.51311,-122.75502
CENNORS,DOG,CHIHUAHUA SH/MIX,BROWN/TAN,Male,SMALL,3/17/2017,K23-044114,DS53,A416248,3/17/2023,3/17/2023,0,CONFISCATE,FLD_HOSPTL,RETURN TO OWNER,OVER THE COUNTER_LETTER,UNKNOWN,PENDING,SANTA ROSA,OUT OF COUNTY,95458.0,1,39.09144,-122.79698
*CHECKERS,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,SMALL,2/14/2021,K23-043858,CA02,A415579,2/14/2023,3/17/2023,31,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,95618.0,1,38.56612,-121.72209
NICKI,DOG,GERM SHEPHERD,BLACK/TAN,Spayed,LARGE,4/23/2016,K22-043301,DA43,A378357,12/7/2022,3/17/2023,100,STRAY,FIELD,ADOPTION,SCAS WEB,TREATABLE/REHAB,HEALTHY,COUNTY,COUNTY,95462.0,1,38.46492,-123.0098
*CODY,DOG,SIBERIAN HUSKY/MIX,WHITE/GRAY,Neutered,SMALL,11/15/2022,K23-044037,DS95,A416035,3/7/2023,3/17/2023,10,STRAY,FIELD,ADOPTION,FINDER,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407.0,1,38.41483,-122.72707
*LUZ,DOG,PIT BULL,GRAY/WHITE,Spayed,MED,2/23/2017,K23-043641,DA19,A415037,1/19/2023,3/17/2023,57,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,TREATABLE/MANAGEABLE,HEALTHY,COUNTY,OUT OF COUNTY,95549.0,1,40.72461,-123.94454
*GINNY,DOG,GERM SHEPHERD,BROWN/BLACK,Spayed,MED,3/14/2020,K23-043922,DA10,A415806,2/23/2023,3/17/2023,22,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,*HEALDSBURG,95448.0,1,38.61064,-122.86883
WIZARD,DOG,GERM SHEPHERD/AUST CATTLE DOG,BLACK/BROWN,Neutered,SMALL,12/1/2021,K22-040781,DA29,A410239,2/24/2022,5/17/2022,82,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,VOLUNTEER,UNKNOWN,HEALTHY,SANTA ROSA,COUNTY,95425.0,1,38.8063,-123.01785
NALA,DOG,GERM SHEPHERD,TAN/BLACK,Spayed,MED,8/17/2015,K18-027230,DQ113,A335641,2/10/2018,2/22/2018,12,QUARANTINE,FIELD_OS,EUTHANIZE,AGGRESSIVE,UNTREATABLE,UNTREATABLE,SANTA ROSA,SANTA ROSA,95401.0,1,38.45663,-122.72292
*CASHEW,DOG,PIT BULL/MIX,BROWN,Neutered,SMALL,1/3/2023,K23-043795,DA01,A415388,2/6/2023,3/17/2023,39,STRAY,FIELD,ADOPTION,INSTAGRAM,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95403.0,1,38.51311,-122.75502
BRUNO,DOG,PIT BULL,GRAY/WHITE,Neutered,LARGE,8/26/2019,K22-043429,DS88,A413017,12/28/2022,12/30/2022,2,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_MCHIP,UNKNOWN,PENDING,COUNTY,COUNTY,95472.0,1,38.40179,-122.82512
CASH,DOG,GERM SHEPHERD,BLACK/TAN,Neutered,LARGE,3/25/2018,K22-042927,DA48,A393405,10/22/2022,12/31/2022,70,STRAY,FIELD,ADOPTION,SCAS WEB,TREATABLE/REHAB,HEALTHY,COUNTY,COUNTY,94922.0,1,38.3468,-122.97293
CHIQUIO,DOG,GERM SHEPHERD,TAN/BLACK,Male,LARGE,10/11/2013,K22-043479,TRUCK,A307882,12/31/2022,12/31/2022,0,STRAY,FIELD,RETURN TO OWNER,FLD_MCHIP,HEALTHY,HEALTHY,COUNTY,COUNTY,95407.0,1,38.41483,-122.72707
*GRACE,CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,6/10/2022,K22-043315,LOBBY,A414399,12/10/2022,12/30/2022,20,STRAY,OVER THE COUNTER,ADOPTION,REFERRAL-F,HEALTHY,HEALTHY,COUNTY,*WINDSOR,95492.0,1,38.54938,-122.81321
HAMMY,DOG,PARSON RUSS TER/MIX,TAN/WHITE,Neutered,SMALL,12/30/2020,K22-043150,TX,A414185,11/16/2022,12/30/2022,44,STRAY,OVER THE COUNTER,ADOPTION,FINDER,UNKNOWN,PENDING,COUNTY,*PETALUMA,94952.0,1,38.23262,-122.64426
LOBO,DOG,GERM SHEPHERD,BLACK/TAN,Male,MED,,K22-043480,TRUCK,A414669,12/31/2022,12/31/2022,0,STRAY,FIELD,RETURN TO OWNER,FLD_MCHIP,HEALTHY,HEALTHY,COUNTY,COUNTY,95407.0,1,38.41483,-122.72707
*PHOENIX,CAT,DOMESTIC MH,FLAME PT,Neutered,SMALL,10/21/2018,K22-042917,CA02,A413794,10/21/2022,12/31/2022,71,CONFISCATE,FIELD,ADOPTION,SCAS WEB,UNKNOWN,HEALTHY,SANTA ROSA,*ROHNERT PARK,94928.0,1,38.34246,-122.71181
LITA,DOG,LABRADOR RETR/PIT BULL,TAN/BLACK,Spayed,LARGE,1/3/2015,K18-027723,DS79,A370582,4/3/2018,4/4/2018,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_MCHIP,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95407.0,1,38.41483,-122.72707
NINA BEAR,DOG,PIT BULL,WHITE/TRICOLOR,Female,MED,1/3/2022,K23-043483,DS62,A414673,1/1/2023,1/3/2023,2,CONFISCATE,FLD_ARREST,RETURN TO OWNER,OVER THE COUNTER_ARREST,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95409.0,1,38.46417,-122.67071
KITTY BOY,CAT,DOMESTIC SH,GRAY,Neutered,SMALL,12/30/2015,K22-043465,CS06,A414608,12/29/2022,1/3/2023,5,QUARANTINE,FIELD,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,PENDING,COUNTY,,94559.0,1,38.29911,-122.28541
INO,CAT,DOMESTIC SH,GRAY/WHITE,Female,SMALL,,K22-043344,CS05,A414443,12/14/2022,1/3/2023,20,QUARANTINE,OVER THE COUNTER,TRANSFER,FORGOTTEN,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95403.0,1,38.51311,-122.75502
LISTO,DOG,GREAT PYRENEES,WHITE,Male,LARGE,1/15/2021,K23-043481,DS63,A414670,1/1/2023,1/3/2023,2,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,COUNTY,COUNTY,95407.0,1,38.41483,-122.72707
JUDGE,DOG,PIT BULL,BLUE/WHITE,Male,MED,,K23-043724,DI104,A378387,1/29/2023,,0,CONFISCATE,FLD_CORONR,,,UNKNOWN,,COUNTY,COUNTY,95404.0,1,38.43807,-122.71247
,CAT,DOMESTIC SH,BLACK/WHITE,Unknown,SMALL,,K22-043411,CS06,A414541,12/26/2022,1/3/2023,8,STRAY,FIELD,TRANSFER,FORGOTTEN,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95403.0,1,38.51311,-122.75502
*SHINE,CAT,DOMESTIC SH,BLACK,Spayed,KITTN,12/2/2022,K23-043916,LOBBY,A415795,2/22/2023,3/18/2023,24,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95407.0,1,38.41483,-122.72707
NAKITA,DOG,SIBERIAN HUSKY,BLACK/WHITE,Female,LARGE,,K22-043424,DS61,A414560,12/27/2022,1/3/2023,7,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95407.0,1,38.41483,-122.72707
*MULAN,CAT,SIAMESE,LILAC PT,Spayed,SMALL,3/13/2022,K23-043737,CA02,A415276,1/31/2023,3/18/2023,46,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95404.0,1,38.43807,-122.71247
KITTY KITTY,CAT,DOMESTIC MH,CALICO,Spayed,SMALL,3/17/2007,K23-044113,SMM,A416247,3/17/2023,3/18/2023,1,STRAY,FLD_STRAY,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95404.0,1,38.43807,-122.71247
ALEX,CAT,DOMESTIC SH,ORG TABBY,Neutered,SMALL,2/10/2021,K23-043829,CA02,A415496,2/10/2023,3/18/2023,36,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404.0,1,38.43807,-122.71247
BRUTIE,DOG,VIZSLA,RED,Spayed,MED,11/5/2019,K23-044128,DS60,A416271,3/18/2023,3/18/2023,0,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95403.0,1,38.51311,-122.75502
*SPARKLE,CAT,DOMESTIC SH,BLACK,Spayed,KITTN,12/2/2022,K23-043917,LOBBY,A415796,2/22/2023,3/18/2023,24,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407.0,1,38.41483,-122.72707
,CAT,DOMESTIC SH,BLACK/WHITE,Unknown,SMALL,,K23-044036,CS06,A416034,3/7/2023,3/18/2023,11,STRAY,OVER THE COUNTER,TRANSFER,FORGOTTEN,UNKNOWN,HEALTHY,COUNTY,SANTA ROSA,95403.0,1,38.51311,-122.75502
KENJI,DOG,AKITA,TRICOLOR,Neutered,LARGE,5/2/2022,K23-043676,DS65,A412962,1/24/2023,3/18/2023,53,STRAY,FIELD,TRANSFER,APFP,HEALTHY,TREATABLE/REHAB,SANTA ROSA,OUT OF COUNTY,92585.0,1,33.71394,-117.17638
PENNY,DOG,PARSON RUSS TER/MIX,WHITE/BROWN,Spayed,SMALL,7/19/2022,K23-044127,DS60,A416270,3/18/2023,3/18/2023,0,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95403.0,1,38.51311,-122.75502
*LILLY,DOG,GERM SHEPHERD/MIX,CREAM,Spayed,LARGE,6/2/2022,K23-043659,DA46,A415099,1/21/2023,3/18/2023,56,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,*PETALUMA,94954.0,1,38.2581,-122.63753
*MILA,DOG,PIT BULL,TAN/WHITE,Spayed,PUPPY,5/29/2022,K22-043222,DA02,A414271,11/29/2022,1/4/2023,36,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401.0,1,38.45663,-122.72292
PANDA,DOG,RAT TERRIER/MIX,BLACK/WHITE,Female,SMALL,8/5/2010,K22-043275,DS50,A414331,12/3/2022,1/4/2023,32,STRAY,OVER THE COUNTER,TRANSFER,MUTTVILLE,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,94103.0,1,37.77672,-122.40779
ZEUS,DOG,PIT BULL,RED/WHITE,Male,MED,,K22-041348,DS80,A411488,5/11/2022,5/11/2022,0,STRAY,PHONE,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,PENDING,COUNTY,SANTA ROSA,95405.0,1,38.44473,-122.68655
*BRIAN,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,7/7/2022,K22-042941,CA02,A413865,10/25/2022,1/4/2023,71,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95409.0,1,38.46417,-122.67071
*SPRECKLES,CAT,DOMESTIC SH,BLUE CREAM,Spayed,SMALL,7/17/2022,K22-043475,CA02,A413977,12/31/2022,1/4/2023,4,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,HEALTHY,SANTA ROSA,*WINDSOR,95492.0,1,38.54938,-122.81321
DELILAH,CAT,DOMESTIC SH,BRN TABBY/WHITE,Spayed,SMALL,2/3/2009,K17-022440,MAC,A347958,2/3/2017,3/14/2017,39,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95404.0,1,38.43807,-122.71247
MOMMY,CAT,DOMESTIC SH,GRAY,Spayed,SMALL,11/4/2007,K22-043051,CS05,A414036,11/4/2022,1/5/2023,62,OWNER SURRENDER,OVER THE COUNTER,TRANSFER,HSSC,UNKNOWN,HEALTHY,SANTA ROSA,COUNTY,95407.0,1,38.41483,-122.72707
*BILLY,CAT,DOMESTIC SH,BRN TABBY/WHITE,Neutered,KITTN,10/30/2022,K22-043348,CA03,A414447,12/14/2022,1/5/2023,22,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404.0,1,38.43807,-122.71247
KALLITA,CAT,DOMESTIC LH,BRN TABBY,Spayed,SMALL,12/6/2010,K22-043280,CS05,A414346,12/6/2022,1/5/2023,30,OWNER SURRENDER,OVER THE COUNTER,TRANSFER,HSSC,UNKNOWN,HEALTHY,SANTA ROSA,COUNTY,95407.0,1,38.41483,-122.72707
*SULLI,CAT,DOMESTIC MH,BRN TABBY/WHITE,Neutered,SMALL,12/1/2020,K22-043256,CA02,A414305,12/1/2022,1/5/2023,35,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,UNKNOWN,PENDING,COUNTY,SANTA ROSA,95403.0,1,38.51311,-122.75502
OREO,DOG,PIT BULL/MIX,BLACK/WHITE,Male,MED,3/20/2021,K23-043886,DS76,A415686,2/17/2023,3/3/2023,14,CONFISCATE,FLD_ARREST,RETURN TO OWNER,OVER THE COUNTER_ARREST,UNKNOWN,PENDING,COUNTY,SANTA ROSA,95401.0,1,38.45663,-122.72292
ROCKY,DOG,LABRADOR RETR/MIX,BLACK/WHITE,Male,LARGE,3/20/2020,K23-043887,DS77,A415687,2/17/2023,3/3/2023,14,CONFISCATE,FLD_ARREST,RETURN TO OWNER,OVER THE COUNTER_ARREST,UNKNOWN,PENDING,COUNTY,SANTA ROSA,95401.0,1,38.45663,-122.72292
,DOG,GREAT PYRENEES,WHITE,Male,MED,3/21/2022,K22-043389,DA19,A414500,12/21/2022,1/5/2023,15,STRAY,FIELD,TRANSFER,HSSC,UNKNOWN,HEALTHY,COUNTY,COUNTY,95407.0,1,38.41483,-122.72707
OSSO,DOG,AUST SHEPHERD/GERM SHEPHERD,BLACK/GOLD,Male,MED,3/20/2020,K23-043885,DS75,A412608,2/17/2023,3/3/2023,14,CONFISCATE,FLD_ARREST,RETURN TO OWNER,OVER THE COUNTER_ARREST,UNKNOWN,PENDING,COUNTY,SANTA ROSA,95401.0,1,38.45663,-122.72292
